T02,"Population, density and surface area",,,,,
643,Russian Federation,2021,Population density,8.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2010,Population mid-year estimates (millions),10.04,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2010,Population mid-year estimates for males (millions),4.92,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2010,Population mid-year estimates for females (millions),5.12,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2010,Sex ratio (males per 100 females),96.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2010,Population aged 0 to 14 years old (percentage),41.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2010,Population aged 60+ years old (percentage),4.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2010,Population density,406.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2015,Population mid-year estimates (millions),11.37,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2015,Population mid-year estimates for males (millions),5.58,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2015,Population mid-year estimates for females (millions),5.79,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2015,Sex ratio (males per 100 females),96.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2015,Population aged 0 to 14 years old (percentage),40.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2015,Population aged 60+ years old (percentage),4.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2015,Population density,460.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2015,Surface area (thousand km2),26,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
646,Rwanda,2019,Population mid-year estimates (millions),12.63,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2019,Population mid-year estimates for males (millions),6.21,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2019,Population mid-year estimates for females (millions),6.42,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2019,Sex ratio (males per 100 females),96.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2019,Population aged 0 to 14 years old (percentage),39.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2019,Population aged 60+ years old (percentage),5.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2019,Population density,511.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2019,Surface area (thousand km2),26,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
646,Rwanda,2021,Population mid-year estimates (millions),13.28,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2021,Population mid-year estimates for males (millions),6.53,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2021,Population mid-year estimates for females (millions),6.75,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
646,Rwanda,2021,Sex ratio (males per 100 females),96.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2021,Population aged 0 to 14 years old (percentage),39.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2021,Population aged 60+ years old (percentage),5.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
646,Rwanda,2021,Population density,538.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
652,Saint Barthélemy,2010,Population mid-year estimates (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
652,Saint Barthélemy,2010,Population density,419.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
652,Saint Barthélemy,2015,Population mid-year estimates (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
652,Saint Barthélemy,2015,Population density,440.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
652,Saint Barthélemy,2021,Population mid-year estimates (millions),0.01,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
652,Saint Barthélemy,2021,Population density,450.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
654,Saint Helena,2010,Population mid-year estimates (millions),0.01,"Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
654,Saint Helena,2010,Population density,13.3,"Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
654,Saint Helena,2015,Population mid-year estimates (millions),0.01,"Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
654,Saint Helena,2015,Population density,15.0,"Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
654,Saint Helena,2015,Surface area (thousand km2),0,Including Ascension and Tristan da Cunha.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
654,Saint Helena,2019,Population mid-year estimates (millions),0.01,"Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
654,Saint Helena,2019,Population density,15.5,"Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
654,Saint Helena,2019,Surface area (thousand km2),0,Including Ascension and Tristan da Cunha.;St. Helena Island has no substantial natural inland waters however there are 15 reservoirs and similar open water storage features on island.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
654,Saint Helena,2021,Population mid-year estimates (millions),0.01,"Projected estimate (medium fertility variant).;Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
654,Saint Helena,2021,Population density,15.6,"Projected estimate (medium fertility variant).;Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
659,Saint Kitts and Nevis,2010,Population mid-year estimates (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
659,Saint Kitts and Nevis,2010,Population density,188.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
659,Saint Kitts and Nevis,2015,Population mid-year estimates (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
659,Saint Kitts and Nevis,2015,Population density,196.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
659,Saint Kitts and Nevis,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
659,Saint Kitts and Nevis,2019,Population mid-year estimates (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
659,Saint Kitts and Nevis,2019,Population density,203.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
659,Saint Kitts and Nevis,2019,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
659,Saint Kitts and Nevis,2021,Population mid-year estimates (millions),0.05,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
659,Saint Kitts and Nevis,2021,Population density,205.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2010,Population mid-year estimates (millions),0.17,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2010,Population mid-year estimates for males (millions),0.09,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2010,Population mid-year estimates for females (millions),0.09,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2010,Sex ratio (males per 100 females),96.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2010,Population aged 0 to 14 years old (percentage),23.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2010,Population aged 60+ years old (percentage),11.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2010,Population density,285.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2015,Population mid-year estimates (millions),0.18,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2015,Population mid-year estimates for males (millions),0.09,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2015,Population mid-year estimates for females (millions),0.09,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2015,Sex ratio (males per 100 females),97.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2015,Population aged 0 to 14 years old (percentage),19.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2015,Population aged 60+ years old (percentage),12.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2015,Population density,293.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2015,Surface area (thousand km2),1,Refers to habitable area. Excludes Saint Lucia's Forest Reserve.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
662,Saint Lucia,2019,Population mid-year estimates (millions),0.18,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2019,Population mid-year estimates for males (millions),0.09,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2019,Population mid-year estimates for females (millions),0.09,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2019,Sex ratio (males per 100 females),97.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2019,Population aged 0 to 14 years old (percentage),18.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2019,Population aged 60+ years old (percentage),14.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2019,Population density,299.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2019,Surface area (thousand km2),1,Refers to habitable area. Excludes Saint Lucia's Forest Reserve.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
662,Saint Lucia,2021,Population mid-year estimates (millions),0.18,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2021,Population mid-year estimates for males (millions),0.09,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2021,Population mid-year estimates for females (millions),0.09,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
662,Saint Lucia,2021,Sex ratio (males per 100 females),97.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2021,Population aged 0 to 14 years old (percentage),17.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2021,Population aged 60+ years old (percentage),15.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
662,Saint Lucia,2021,Population density,302.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
663,Saint Martin (French part),2010,Population mid-year estimates (millions),0.04,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
663,Saint Martin (French part),2010,Population density,709.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
663,Saint Martin (French part),2015,Population mid-year estimates (millions),0.04,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
663,Saint Martin (French part),2015,Population density,676.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
663,Saint Martin (French part),2021,Population mid-year estimates (millions),0.04,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
663,Saint Martin (French part),2021,Population density,740.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
666,Saint Pierre and Miquelon,2010,Population mid-year estimates (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
666,Saint Pierre and Miquelon,2010,Population density,27.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
666,Saint Pierre and Miquelon,2015,Population mid-year estimates (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
666,Saint Pierre and Miquelon,2015,Population density,26.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
666,Saint Pierre and Miquelon,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
666,Saint Pierre and Miquelon,2019,Population mid-year estimates (millions),0.01,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
666,Saint Pierre and Miquelon,2019,Population density,25.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
666,Saint Pierre and Miquelon,2019,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
666,Saint Pierre and Miquelon,2021,Population mid-year estimates (millions),0.01,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
666,Saint Pierre and Miquelon,2021,Population density,25.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2010,Population mid-year estimates (millions),0.11,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2010,Population mid-year estimates for males (millions),0.06,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2010,Population mid-year estimates for females (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2010,Sex ratio (males per 100 females),103.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2010,Population aged 0 to 14 years old (percentage),25.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2010,Population aged 60+ years old (percentage),11.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2010,Population density,277.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2015,Population mid-year estimates (millions),0.11,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2015,Population mid-year estimates for males (millions),0.06,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2015,Population mid-year estimates for females (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2015,Sex ratio (males per 100 females),103.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2015,Population aged 0 to 14 years old (percentage),23.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2015,Population aged 60+ years old (percentage),13.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2015,Population density,279.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
670,Saint Vincent & Grenadines,2019,Population mid-year estimates (millions),0.11,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2019,Population mid-year estimates for males (millions),0.06,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2019,Population mid-year estimates for females (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2019,Sex ratio (males per 100 females),102.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2019,Population aged 0 to 14 years old (percentage),22.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2019,Population aged 60+ years old (percentage),14.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2019,Population density,283.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2019,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
670,Saint Vincent & Grenadines,2021,Population mid-year estimates (millions),0.11,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2021,Population mid-year estimates for males (millions),0.06,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2021,Population mid-year estimates for females (millions),0.05,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
670,Saint Vincent & Grenadines,2021,Sex ratio (males per 100 females),102.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2021,Population aged 0 to 14 years old (percentage),21.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2021,Population aged 60+ years old (percentage),15.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
670,Saint Vincent & Grenadines,2021,Population density,285.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2010,Population mid-year estimates (millions),0.19,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2010,Population mid-year estimates for males (millions),0.10,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2010,Population mid-year estimates for females (millions),0.09,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2010,Sex ratio (males per 100 females),106.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
882,Samoa,2010,Population aged 0 to 14 years old (percentage),38.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
882,Samoa,2010,Population aged 60+ years old (percentage),7.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
882,Samoa,2010,Population density,65.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2015,Population mid-year estimates (millions),0.19,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2015,Population mid-year estimates for males (millions),0.10,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2015,Population mid-year estimates for females (millions),0.09,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
882,Samoa,2015,Sex ratio (males per 100 females),107.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
882,Samoa,2015,Population aged 0 to 14 years old (percentage),38.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
